N,Fused Softmax
1024.000000,0.028282
1536.000000,0.029852
2048.000000,0.033439
2560.000000,0.042951
3072.000000,0.050114
3584.000000,0.054828
4096.000000,0.059498
4608.000000,0.072940
5120.000000,0.077097
5632.000000,0.082454
6144.000000,0.088525
6656.000000,0.095458
7168.000000,0.100582
7680.000000,0.107169
8192.000000,0.113709
8704.000000,0.160449
9216.000000,0.162540
9728.000000,0.141913
10240.000000,0.145012
10752.000000,0.149634
11264.000000,0.154743
11776.000000,0.160510
12288.000000,0.166338
12800.000000,0.172586
13312.000000,0.180517
13824.000000,0.186854
14336.000000,0.193691
14848.000000,0.200202
15360.000000,0.207162
15872.000000,0.213849
